repeticao,livro,sucesso,tempo_s,tamanho_bytes,vazao_Bps
1,livro1.txt,True,0.18568937099917093,500000,2692668.930427
1,livro2.txt,True,0.015711537998868152,1000000,63647492.69435234
1,livro3.txt,True,0.028777316001651343,2000000,69499184.70107612
1,livro4.txt,True,0.03815459299948998,3000000,78627493.15764165
1,livro5.txt,True,0.12341339699923992,5000000,40514240.11957789
2,livro1.txt,True,0.017158734997792635,500000,29139677.2585113
2,livro2.txt,True,0.007929178995254915,1000000,126116461.81760222
2,livro3.txt,True,0.04030818500177702,2000000,49617714.117165744
2,livro4.txt,True,0.04212883400032297,3000000,71210136.03122748
2,livro5.txt,True,0.06981730199913727,5000000,71615485.80123857
3,livro1.txt,True,0.013716567002120428,500000,36452269.720455974
3,livro2.txt,True,0.008969121001427993,1000000,111493645.79213367
3,livro3.txt,True,0.014939633998437785,2000000,133872088.17894314
3,livro4.txt,True,0.01481761600007303,3000000,202461718.53726092
3,livro5.txt,True,0.02646030100004282,5000000,188962325.10703143
4,livro1.txt,True,0.0052737180012627505,500000,94809771.75500831
4,livro2.txt,True,0.0481298499944387,1000000,20777126.87896488
4,livro3.txt,True,0.04373335200216388,2000000,45731687.79518757
4,livro4.txt,True,0.046212189001380466,3000000,64917937.5577812
4,livro5.txt,True,0.07893234199582366,5000000,63345390.160405375
5,livro1.txt,True,0.02005803000065498,500000,24927672.35783738
5,livro2.txt,True,0.022912318992894143,1000000,43644643.75300172
5,livro3.txt,True,0.03261253799428232,2000000,61326107.166226774
5,livro4.txt,True,0.04563451099966187,3000000,65739720.53786724
5,livro5.txt,True,0.13158200799807673,5000000,37999116.1107154
6,livro1.txt,True,0.019557062005333137,500000,25566212.341283772
6,livro2.txt,True,0.026770944001327734,1000000,37353931.18563185
6,livro3.txt,True,0.04475218999868957,2000000,44690550.340856254
6,livro4.txt,True,0.04964765700424323,3000000,60425812.23407178
6,livro5.txt,True,0.07997758500277996,5000000,62517516.62451678
7,livro1.txt,True,0.0161593989978428,500000,30941744.805406906
7,livro2.txt,True,0.02075252500071656,1000000,48186907.37466748
7,livro3.txt,True,0.04129621999891242,2000000,48430582.751948535
7,livro4.txt,True,0.04612747699866304,3000000,65037157.789639175
7,livro5.txt,True,0.07956362899858505,5000000,62842784.610653184
8,livro1.txt,True,0.015437901005498134,500000,32387822.659435853
8,livro2.txt,True,0.025915826998243574,1000000,38586459.15747833
8,livro3.txt,True,0.04471918600029312,2000000,44723533.20534257
8,livro4.txt,True,0.05340806900494499,3000000,56171287.52065972
8,livro5.txt,True,0.09022797999932664,5000000,55415182.74084508
9,livro1.txt,True,0.016057085995271336,500000,31138900.305276148
9,livro2.txt,True,0.02476036999723874,1000000,40387118.61379775
9,livro3.txt,True,0.03896110200003022,2000000,51333250.27609456
9,livro4.txt,True,0.17813194400514476,3000000,16841448.717998356
9,livro5.txt,True,0.1634787490038434,5000000,30585015.058333054
10,livro1.txt,True,0.024727765005081892,500000,20220185.68589774
10,livro2.txt,True,0.02747853899927577,1000000,36392036.71004329
10,livro3.txt,True,0.04469528300251113,2000000,44747451.31130803
10,livro4.txt,True,0.07550887700199382,3000000,39730427.98558353
10,livro5.txt,True,0.08270315499976277,5000000,60457185.7024601
11,livro1.txt,True,0.016581355994276237,500000,30154349.2686965
11,livro2.txt,True,0.028460273002565373,1000000,35136697.385505095
11,livro3.txt,True,0.039418365005985834,2000000,50737771.58682995
11,livro4.txt,True,0.05787117600266356,3000000,51839278.32850542
11,livro5.txt,True,0.11230458399950294,5000000,44521780.16190443
12,livro1.txt,True,0.015269477997208014,500000,32745061.7559699
12,livro2.txt,True,0.02628327700222144,1000000,38047006.08358238
12,livro3.txt,True,0.047265433000575285,2000000,42314221.47292414
12,livro4.txt,True,0.045970256003784016,3000000,65259588.716518275
12,livro5.txt,True,0.1057928979935241,5000000,47262151.759053476
13,livro1.txt,True,0.015836254999157973,500000,31573121.298348974
13,livro2.txt,True,0.02624387200194178,1000000,38104133.41164025
13,livro3.txt,True,0.043834666001203004,2000000,45625989.25574365
13,livro4.txt,True,0.050480771002185065,3000000,59428569.3431692
13,livro5.txt,True,0.11774662400421221,5000000,42464062.49253594
14,livro1.txt,True,0.0157616450014757,500000,31722577.177267157
14,livro2.txt,True,0.02483508000295842,1000000,40265624.26538901
14,livro3.txt,True,0.03822660199512029,2000000,52319586.24664845
14,livro4.txt,True,0.0596266150023439,3000000,50313102.62844992
14,livro5.txt,True,0.09427633100131061,5000000,53035581.11452694
15,livro1.txt,True,0.014499372999125626,500000,34484249.76929362
15,livro2.txt,True,0.021453519999340642,1000000,46612397.40754591
15,livro3.txt,True,0.033830004002084024,2000000,59119118.04316648
15,livro4.txt,True,0.1079986979966634,3000000,27778112.65921636
15,livro5.txt,True,0.09027278600115096,5000000,55387677.964611076
16,livro1.txt,True,0.016373329002817627,500000,30537467.36011698
16,livro2.txt,True,0.025346448994241655,1000000,39453258.33323577
16,livro3.txt,True,0.04068223600188503,2000000,49161506.263011925
16,livro4.txt,True,0.07071522399928654,3000000,42423679.51815111
16,livro5.txt,True,0.11386169699835591,5000000,43912923.58897652
17,livro1.txt,True,0.01636452700040536,500000,30553892.574323393
17,livro2.txt,True,0.026111154002137482,1000000,38297809.43110133
17,livro3.txt,True,0.04541328100458486,2000000,44039980.28237781
17,livro4.txt,True,0.06871785299881594,3000000,43656777.228643805
17,livro5.txt,True,0.13675671300006798,5000000,36561276.520279594
18,livro1.txt,True,0.017057821998605505,500000,29312065.751470238
18,livro2.txt,True,0.02616466099425452,1000000,38219490.02968506
18,livro3.txt,True,0.03971580499637639,2000000,50357785.7777899
18,livro4.txt,True,0.06011278100049822,3000000,49906192.16194865
18,livro5.txt,True,0.12015905300359009,5000000,41611513.03223579
19,livro1.txt,True,0.02687555800366681,500000,18604264.883794475
19,livro2.txt,True,0.0349954630000866,1000000,28575132.72499139
19,livro3.txt,True,0.06557022299966775,2000000,30501650.116549615
19,livro4.txt,True,0.04531936800049152,3000000,66196863.115290195
19,livro5.txt,True,0.11411033000331372,5000000,43817242.486765236
20,livro1.txt,True,0.023469993997423444,500000,21303797.52354817
20,livro2.txt,True,0.0511518610001076,1000000,19549630.853076812
20,livro3.txt,True,0.05290249999961816,2000000,37805396.72065471
20,livro4.txt,True,0.020814432995393872,3000000,144130757.76139972
20,livro5.txt,True,0.03556504000152927,5000000,140587498.27878737
