repeticao,livro,sucesso,tempo_s,ttfb_s,tamanho_bytes,vazao_Bps
16,livro1.txt,True,3.159492248996685,0.10693123700184515,500000,158253.2763480518
16,livro2.txt,True,5.499030902999948,0.10663140299948282,1000000,181850.22372841346
16,livro3.txt,True,11.994639651999023,0.10370207800224307,2000000,166741.14921548983
16,livro4.txt,True,17.899451881999994,0.11408508800013806,3000000,167602.89755111738
16,livro5.txt,True,29.97171355500177,0.1043425269999716,5000000,166823.96189408345
17,livro1.txt,True,3.0109071760016377,0.11117373399974895,500000,166062.90754668156
17,livro2.txt,True,6.198732711996854,0.1030059490003623,1000000,161323.29727084827
17,livro3.txt,True,13.250931386999582,0.10697050399903674,2000000,150932.7866539396
17,livro4.txt,True,14.979141337000328,0.10879813399878913,3000000,200278.50278638
17,livro5.txt,True,33.238042837998364,0.10927463700136286,5000000,150430.03658097176
18,livro1.txt,True,2.7572547259987914,0.10768962699876283,500000,181339.79254270002
18,livro2.txt,True,6.561930183001095,0.10256357499747537,1000000,152394.18465477342
18,livro3.txt,True,10.469987594999111,0.11942814999929396,2000000,191022.19385200425
18,livro4.txt,True,20.85239006700067,0.10333974399691215,3000000,143868.40023425233
18,livro5.txt,True,29.295912764002424,0.10446440399755375,5000000,170672.2722817426
19,livro1.txt,True,1.7269003719993634,0.10737313899880974,500000,289536.10069648206
19,livro2.txt,True,5.453338997998799,0.10765037099918118,1000000,183373.8926494333
19,livro3.txt,True,11.089996467999299,0.10681887399914558,2000000,180342.70847345112
19,livro4.txt,True,22.369775948001916,0.10434746000100859,3000000,134109.52380450472
19,livro5.txt,True,28.701567092000914,0.1067522099983762,5000000,174206.51576176455
20,livro1.txt,True,3.2548675649995857,0.21120298500318313,500000,153616.08115077447
20,livro2.txt,True,5.989732414000173,0.1019778679983574,1000000,166952.3662964706
20,livro3.txt,True,10.187028557000303,0.10348109400001704,2000000,196328.1038046805
20,livro4.txt,True,19.90406379200067,0.10636745599913411,3000000,150722.98960404674
20,livro5.txt,True,30.632675135999307,0.10696674599967082,5000000,163224.39936445624
