teste,tempo_ms
1,4632.791996002197
2,3071.10333442688
3,2825.6075382232666
4,2676.483154296875
5,5006.181716918945
6,6884.289503097534
7,2618.638515472412
8,4335.425853729248
9,5025.432109832764
10,5496.86336517334
11,3823.467493057251
12,2821.2497234344482
13,3644.9248790740967
14,5823.452711105347
15,7451.908111572266
16,4589.3800258636475
17,4885.815143585205
18,6663.97762298584
19,8014.201879501343
20,7923.902988433838
21,2016.340970993042
22,2216.6693210601807
23,2682.685613632202
24,2422.712802886963
25,6865.225315093994
26,2226.079225540161
27,2218.8591957092285
28,2621.615409851074
29,2276.0682106018066
30,6255.719900131226
31,4589.114427566528
32,2820.424795150757
33,4290.761947631836
34,5054.640531539917
35,2029.1228294372559
36,3477.924585342407
37,3620.5577850341797
38,4455.808401107788
39,2220.5965518951416
40,3624.490976333618
41,5679.861783981323
42,2678.8594722747803
43,2641.2036418914795
44,3225.1317501068115
45,4848.123788833618
46,3022.4039554595947
47,6691.953897476196
48,6282.127857208252
49,2823.037624359131
50,7558.849573135376
51,4407.175540924072
52,3627.6767253875732
53,6688.372850418091
54,5369.496822357178
55,2225.3434658050537
56,4150.513648986816
57,2221.1427688598633
58,4476.16171836853
59,4430.458545684814
60,3252.9187202453613
61,2224.4505882263184
62,6539.952516555786
63,2616.90354347229
64,3218.7814712524414
65,4593.123912811279
66,5033.599853515625
67,4208.302736282349
68,5275.115728378296
69,5686.777353286743
70,4427.140712738037
71,3423.485040664673
72,4821.152925491333
73,7827.577114105225
74,3235.0194454193115
75,3207.5130939483643
76,2225.4104614257812
77,4738.997459411621
78,4288.905143737793
79,7501.121044158936
80,4035.513162612915
81,2221.004009246826
82,5086.329936981201
83,3478.2469272613525
84,5693.884372711182
85,8882.0059299469
86,2221.3306427001953
87,8141.30425453186
88,4228.809833526611
89,3680.70125579834
90,3024.752140045166
91,3451.1399269104004
92,2217.496156692505
93,3224.968433380127
94,6307.984352111816
95,6360.77094078064
96,3835.61372756958
97,3824.5058059692383
98,8075.531721115112
99,2425.178050994873
100,2623.4488487243652
