teste,tempo_ms
1,628.5080909729004
2,621.2096214294434
3,623.7921714782715
4,623.2285499572754
5,623.6069202423096
6,624.0768432617188
7,620.3703880310059
8,620.6691265106201
9,623.8694190979004
10,621.9580173492432
11,1249.7398853302002
12,620.753288269043
13,619.152307510376
14,621.1423873901367
15,621.849536895752
16,620.1541423797607
17,621.9115257263184
18,623.4371662139893
19,621.0358142852783
20,623.2903003692627
21,622.8909492492676
22,620.6545829772949
23,620.5887794494629
24,622.1146583557129
25,619.4322109222412
26,617.3982620239258
27,622.6668357849121
28,1229.8805713653564
29,614.4626140594482
30,620.8066940307617
31,620.457649230957
32,621.9704151153564
33,616.7285442352295
34,622.4865913391113
35,1237.811803817749
36,622.3347187042236
37,631.7389011383057
38,621.3052272796631
39,621.117353439331
40,620.4426288604736
41,622.6110458374023
42,623.5268115997314
43,618.2024478912354
44,625.0815391540527
45,621.3245391845703
46,621.9813823699951
47,621.6192245483398
48,622.3323345184326
49,622.1680641174316
50,621.4425563812256
51,622.4486827850342
52,623.8670349121094
53,621.2062835693359
54,645.6382274627686
55,620.6953525543213
56,622.960090637207
57,620.774507522583
58,621.1559772491455
59,621.5753555297852
60,621.9983100891113
61,622.2898960113525
62,1628.150224685669
63,622.0579147338867
64,621.8798160552979
65,620.5997467041016
66,620.1770305633545
67,622.485876083374
68,621.5291023254395
69,622.5273609161377
70,621.605396270752
71,622.6394176483154
72,621.7484474182129
73,624.7837543487549
74,620.9330558776855
75,620.4442977905273
76,619.3552017211914
77,621.9396591186523
78,623.2860088348389
79,620.5074787139893
80,621.1984157562256
81,621.222972869873
82,620.4285621643066
83,619.7528839111328
84,619.0876960754395
85,622.298002243042
86,619.5621490478516
87,621.7403411865234
88,622.0595836639404
89,619.3037033081055
90,618.7424659729004
91,621.0417747497559
92,622.8189468383789
93,879.4341087341309
94,621.6714382171631
95,622.1578121185303
96,619.7195053100586
97,621.9496726989746
98,624.7615814208984
99,622.6494312286377
100,1250.58913230896
