teste,tempo_ms
1,54.23712730407715
2,31.922101974487305
3,9.951114654541016
4,11.036157608032227
5,9.399890899658203
6,8.697271347045898
7,9.053707122802734
8,8.90040397644043
9,9.890317916870117
10,10.703325271606445
11,8.359909057617188
12,9.806632995605469
13,8.290529251098633
14,10.699748992919922
15,8.854389190673828
16,8.860349655151367
17,20.920991897583008
18,10.264873504638672
19,9.08350944519043
20,9.202241897583008
21,10.220050811767578
22,9.242773056030273
23,10.783910751342773
24,9.078502655029297
25,10.015249252319336
26,8.694171905517578
27,9.578466415405273
28,9.187698364257812
29,10.741233825683594
30,10.367393493652344
31,11.188507080078125
32,9.62686538696289
33,9.745121002197266
34,8.81195068359375
35,10.751485824584961
36,9.967803955078125
37,8.921623229980469
38,10.081291198730469
39,99.37143325805664
40,24.33633804321289
41,27.6029109954834
42,30.391693115234375
43,24.79243278503418
44,30.804872512817383
45,26.496410369873047
46,37.122249603271484
47,24.893760681152344
48,24.059772491455078
49,23.15545082092285
50,24.385452270507812
51,23.873567581176758
52,24.873018264770508
53,25.087594985961914
54,25.693178176879883
55,24.254560470581055
56,22.070884704589844
57,22.8121280670166
58,25.4364013671875
59,24.502038955688477
60,22.10092544555664
61,22.86076545715332
62,24.915218353271484
63,42.53721237182617
64,22.223234176635742
65,25.05326271057129
66,25.85434913635254
67,21.861791610717773
68,22.83453941345215
69,26.091337203979492
70,28.259754180908203
71,24.047374725341797
72,21.983623504638672
73,23.3457088470459
74,25.934696197509766
75,24.103879928588867
76,23.843050003051758
77,21.886110305786133
78,21.889925003051758
79,21.9724178314209
80,24.882793426513672
81,24.91164207458496
82,23.691892623901367
83,24.078369140625
84,23.527860641479492
85,64.63932991027832
86,25.62403678894043
87,26.37767791748047
88,25.21538734436035
89,24.396419525146484
90,28.01346778869629
91,26.31402015686035
92,25.159597396850586
93,23.694515228271484
94,39.899587631225586
95,24.54376220703125
96,25.40421485900879
97,25.82859992980957
98,27.91595458984375
99,28.05018424987793
100,25.66671371459961
