teste,livro,tempo_ms
1,livro1.txt,2836.172103881836
1,livro2.txt,4430.835962295532
1,livro3.txt,9737.490177154541
1,livro4.txt,10705.452919006348
1,livro5.txt,7704.085111618042
2,livro1.txt,3226.97114944458
2,livro2.txt,5968.166828155518
2,livro3.txt,5307.651996612549
2,livro4.txt,8079.664468765259
2,livro5.txt,11480.423212051392
3,livro1.txt,3626.7359256744385
3,livro2.txt,4898.253440856934
3,livro3.txt,5849.224328994751
3,livro4.txt,8913.911819458008
3,livro5.txt,9133.000612258911
4,livro1.txt,5564.164400100708
4,livro2.txt,4659.374952316284
4,livro3.txt,7396.121501922607
4,livro4.txt,6876.9636154174805
4,livro5.txt,6157.973051071167
5,livro1.txt,5028.3918380737305
5,livro2.txt,5508.334398269653
5,livro3.txt,6407.032251358032
5,livro4.txt,8905.006647109985
5,livro5.txt,5693.0975914001465
6,livro1.txt,4149.361848831177
6,livro2.txt,3273.813486099243
6,livro3.txt,4839.3683433532715
6,livro4.txt,15247.826337814331
6,livro5.txt,16728.248357772827
7,livro1.txt,4698.89235496521
7,livro2.txt,4843.919515609741
7,livro3.txt,4035.9325408935547
7,livro4.txt,6700.5956172943115
7,livro5.txt,13819.87738609314
8,livro1.txt,2828.3257484436035
8,livro2.txt,5191.548109054565
8,livro3.txt,3624.650239944458
8,livro4.txt,4948.96388053894
8,livro5.txt,7694.776296615601
9,livro1.txt,3346.2021350860596
9,livro2.txt,3343.233346939087
9,livro3.txt,4851.9487380981445
9,livro4.txt,9910.274505615234
9,livro5.txt,4445.597410202026
10,livro1.txt,5979.465961456299
10,livro2.txt,4348.114013671875
10,livro3.txt,4420.080661773682
10,livro4.txt,4943.704605102539
10,livro5.txt,6998.90661239624
11,livro1.txt,3636.5432739257812
11,livro2.txt,4165.683269500732
11,livro3.txt,3627.873182296753
11,livro4.txt,4450.359106063843
11,livro5.txt,13633.112907409668
12,livro1.txt,3229.1924953460693
12,livro2.txt,3704.256296157837
12,livro3.txt,5553.400039672852
12,livro4.txt,9686.196565628052
12,livro5.txt,10840.167045593262
13,livro1.txt,2823.0321407318115
13,livro2.txt,6156.973838806152
13,livro3.txt,5233.835697174072
13,livro4.txt,4466.526031494141
13,livro5.txt,8219.497919082642
14,livro1.txt,3233.678102493286
14,livro2.txt,6435.970306396484
14,livro3.txt,5069.457769393921
14,livro4.txt,4056.8974018096924
14,livro5.txt,9115.656852722168
15,livro1.txt,5676.409006118774
15,livro2.txt,5333.0323696136475
15,livro3.txt,7203.394889831543
15,livro4.txt,7797.7659702301025
15,livro5.txt,6091.637849807739
16,livro1.txt,6271.851062774658
16,livro2.txt,3631.2239170074463
16,livro3.txt,6426.56683921814
16,livro4.txt,4444.495916366577
16,livro5.txt,6706.746339797974
17,livro1.txt,4047.2350120544434
17,livro2.txt,4054.74591255188
17,livro3.txt,3629.483699798584
17,livro4.txt,6134.943962097168
17,livro5.txt,25747.90096282959
18,livro1.txt,3232.1767807006836
18,livro2.txt,4697.469234466553
18,livro3.txt,4454.401254653931
18,livro4.txt,12148.009061813354
18,livro5.txt,3697.1793174743652
19,livro1.txt,3745.3055381774902
19,livro2.txt,3632.7064037323
19,livro3.txt,3634.021997451782
19,livro4.txt,7002.752304077148
19,livro5.txt,8314.692974090576
20,livro1.txt,4238.863229751587
20,livro2.txt,6827.959060668945
20,livro3.txt,4570.168495178223
20,livro4.txt,7645.253896713257
20,livro5.txt,9504.761934280396
