teste,livro,tempo_ms
1,livro1.txt,4285.845518112183
1,livro2.txt,3625.0603199005127
1,livro3.txt,3653.2039642333984
1,livro4.txt,5342.11277961731
1,livro5.txt,4540.019750595093
2,livro1.txt,2416.8033599853516
2,livro2.txt,4220.27325630188
2,livro3.txt,3629.1651725769043
2,livro4.txt,4827.666282653809
2,livro5.txt,5509.003400802612
3,livro1.txt,2823.7314224243164
3,livro2.txt,3613.5780811309814
3,livro3.txt,5755.411148071289
3,livro4.txt,3624.4380474090576
3,livro5.txt,3680.3040504455566
4,livro1.txt,3647.800922393799
4,livro2.txt,3615.1905059814453
4,livro3.txt,3628.687620162964
4,livro4.txt,4815.818309783936
4,livro5.txt,5384.261846542358
5,livro1.txt,4218.368053436279
5,livro2.txt,4014.4853591918945
5,livro3.txt,5220.691442489624
5,livro4.txt,4017.442464828491
5,livro5.txt,7628.01456451416
6,livro1.txt,3224.85089302063
6,livro2.txt,3227.8640270233154
6,livro3.txt,4637.625217437744
6,livro4.txt,4023.6096382141113
6,livro5.txt,4428.46417427063
7,livro1.txt,3843.099355697632
7,livro2.txt,8044.628620147705
7,livro3.txt,4030.25484085083
7,livro4.txt,3700.5574703216553
7,livro5.txt,4580.137014389038
8,livro1.txt,2871.612548828125
8,livro2.txt,2823.9238262176514
8,livro3.txt,6693.845987319946
8,livro4.txt,5335.858106613159
8,livro5.txt,5430.462837219238
9,livro1.txt,5866.897106170654
9,livro2.txt,2926.835775375366
9,livro3.txt,4820.171117782593
9,livro4.txt,3627.03013420105
9,livro5.txt,6432.431697845459
10,livro1.txt,2823.1191635131836
10,livro2.txt,3726.8362045288086
10,livro3.txt,3622.699022293091
10,livro4.txt,3631.5250396728516
10,livro5.txt,4474.738597869873
11,livro1.txt,4043.3707237243652
11,livro2.txt,3225.2936363220215
11,livro3.txt,3227.1077632904053
11,livro4.txt,5169.602870941162
11,livro5.txt,6465.91591835022
12,livro1.txt,2419.501781463623
12,livro2.txt,3227.3881435394287
12,livro3.txt,7839.308977127075
12,livro4.txt,4464.8027420043945
12,livro5.txt,7572.893381118774
13,livro1.txt,2418.60032081604
13,livro2.txt,2955.3966522216797
13,livro3.txt,3628.7834644317627
13,livro4.txt,3625.7619857788086
13,livro5.txt,4844.402551651001
14,livro1.txt,3327.888011932373
14,livro2.txt,3622.6935386657715
14,livro3.txt,3633.1114768981934
14,livro4.txt,5270.37787437439
14,livro5.txt,6142.26770401001
15,livro1.txt,5774.669408798218
15,livro2.txt,4782.766819000244
15,livro3.txt,3629.6334266662598
15,livro4.txt,4026.214361190796
15,livro5.txt,5260.618448257446
16,livro1.txt,3697.41153717041
16,livro2.txt,3623.9123344421387
16,livro3.txt,4637.056589126587
16,livro4.txt,5668.882608413696
16,livro5.txt,4082.225561141968
17,livro1.txt,2467.853784561157
17,livro2.txt,3730.440616607666
17,livro3.txt,3324.5675563812256
17,livro4.txt,4431.658506393433
17,livro5.txt,6835.620164871216
18,livro1.txt,2818.5558319091797
18,livro2.txt,3620.15962600708
18,livro3.txt,3237.7359867095947
18,livro4.txt,5747.828722000122
18,livro5.txt,4831.700563430786
19,livro1.txt,2823.8394260406494
19,livro2.txt,2829.7464847564697
19,livro3.txt,4030.8218002319336
19,livro4.txt,3619.9121475219727
19,livro5.txt,7840.794086456299
20,livro1.txt,4240.774869918823
20,livro2.txt,4024.949550628662
20,livro3.txt,3231.313705444336
20,livro4.txt,4831.523895263672
20,livro5.txt,9749.203443527222
