teste,tempo_ms
1,2433.2523345947266
2,1849.9057292938232
3,1842.1547412872314
4,2028.2106399536133
5,4969.213247299194
6,2020.4463005065918
7,2218.1880474090576
8,1826.9896507263184
9,2020.129680633545
10,2019.0269947052002
11,2023.1726169586182
12,1826.6310691833496
13,1826.6313076019287
14,2822.510004043579
15,2021.507740020752
16,3063.927173614502
17,1826.479196548462
18,2221.836805343628
19,3823.798656463623
20,2219.0515995025635
21,3223.7937450408936
22,2220.064401626587
23,3425.4443645477295
24,1830.0814628601074
25,2027.5099277496338
26,2020.855188369751
27,1822.849988937378
28,2017.6091194152832
29,1830.6505680084229
30,2010.5552673339844
31,2017.866611480713
32,1826.7457485198975
33,2025.561809539795
34,1822.9658603668213
35,2622.695207595825
36,1827.925682067871
37,2822.2904205322266
38,2218.1901931762695
39,2015.7299041748047
40,3018.5842514038086
41,2423.5637187957764
42,2017.6544189453125
43,2018.8977718353271
44,2818.800687789917
45,2859.2095375061035
46,3225.2840995788574
47,2022.3901271820068
48,2421.172618865967
49,2027.8797149658203
50,2222.9180335998535
51,2021.8775272369385
52,1828.2711505889893
53,2019.5112228393555
54,3621.858596801758
55,1829.8158645629883
56,1825.1628875732422
57,3680.668592453003
58,2018.7270641326904
59,1827.4779319763184
60,1831.1805725097656
61,2424.6060848236084
62,5659.348011016846
63,1826.4451026916504
64,2219.984292984009
65,2224.242925643921
66,1823.4617710113525
67,2019.9029445648193
68,1828.394889831543
69,2021.5787887573242
70,2226.2604236602783
71,1826.481819152832
72,2221.106767654419
73,2219.0260887145996
74,2421.6983318328857
75,1825.8209228515625
76,3261.8532180786133
77,1837.6331329345703
78,2224.8833179473877
79,2465.754747390747
80,1825.0195980072021
81,3883.946657180786
82,2018.8565254211426
83,2227.726697921753
84,1828.4916877746582
85,3249.9136924743652
86,2423.388719558716
87,2025.9885787963867
88,2014.1358375549316
89,2016.772985458374
90,2015.8684253692627
91,1826.8146514892578
92,1829.3852806091309
93,2418.036460876465
94,1831.3021659851074
95,1829.3850421905518
96,1835.2367877960205
97,1831.860065460205
98,2519.725561141968
99,1824.333667755127
100,3421.4160442352295
