repeticao,livro,sucesso,tempo_s,tamanho_bytes,vazao_Bps
1,livro1.txt,True,1.6766065319998233,500000,298221.4314789826
1,livro2.txt,True,4.820816088999891,1000000,207433.7584214826
1,livro3.txt,True,23.078031285999714,2000000,86662.50492576894
1,livro4.txt,True,27.697346068000115,3000000,108313.62660648645
1,livro5.txt,True,47.45112672400046,5000000,105371.5758760062
2,livro1.txt,True,5.320169663999877,500000,93981.96515862309
2,livro2.txt,True,7.931177743000262,1000000,126084.6790229307
2,livro3.txt,True,15.894719400000213,2000000,125827.95264696357
2,livro4.txt,True,27.891923263000535,3000000,107558.01856014674
2,livro5.txt,True,37.40095145499981,5000000,133686.43859276987
3,livro1.txt,True,3.6162646949996997,500000,138264.2151973451
3,livro2.txt,True,9.88835576800011,1000000,101129.04748392229
3,livro3.txt,True,16.617590436999308,2000000,120354.39238813895
3,livro4.txt,True,23.921829605999847,3000000,125408.46788941129
3,livro5.txt,True,45.8507488209998,5000000,109049.47309628197
4,livro1.txt,True,5.219520423999711,500000,95794.24149792879
4,livro2.txt,True,5.006181593999827,1000000,199753.04155936989
4,livro3.txt,True,18.402148953000506,2000000,108682.95899071592
4,livro4.txt,True,25.350069279999843,3000000,118342.87184244013
4,livro5.txt,True,39.21528462200058,5000000,127501.30588609568
5,livro1.txt,True,3.9169725550000294,500000,127649.60514256048
5,livro2.txt,True,10.41575576699961,1000000,96008.39558549506
5,livro3.txt,True,16.134937836999597,2000000,123954.61452685173
5,livro4.txt,True,25.74898451899935,3000000,116509.44905366641
5,livro5.txt,True,35.12126723399979,5000000,142363.88358901977
6,livro1.txt,True,5.217760285000622,500000,95826.55635548047
6,livro2.txt,True,9.842820388000291,1000000,101596.89607047317
6,livro3.txt,True,19.112246237000363,2000000,104644.94728663022
6,livro4.txt,True,27.98953045200051,3000000,107182.93417407364
6,livro5.txt,True,49.761992593000286,5000000,100478.29155264412
7,livro1.txt,True,5.561364302000584,500000,89905.99659514043
7,livro2.txt,True,9.068022493999706,1000000,110277.62675508339
7,livro3.txt,True,12.754603987999872,2000000,156806.1228621205
7,livro4.txt,True,23.106680283999594,3000000,129832.58361337929
7,livro5.txt,True,48.55245151300005,5000000,102981.41173492005
8,livro1.txt,True,5.366175903000112,500000,93176.22251638469
8,livro2.txt,True,9.491324024999813,1000000,105359.37845616009
8,livro3.txt,True,20.162221528999908,2000000,99195.4183780464
8,livro4.txt,True,27.90326564299994,3000000,107514.29737230798
8,livro5.txt,True,40.83049084300001,5000000,122457.5041046121
9,livro1.txt,True,2.31893090199992,500000,215616.60141265273
9,livro2.txt,True,9.281658810000408,1000000,107739.36216256542
9,livro3.txt,True,17.710424593000425,2000000,112927.84029528275
9,livro4.txt,True,29.50884331099951,3000000,101664.43897452738
9,livro5.txt,True,45.24855241899968,5000000,110500.77257058329
10,livro1.txt,True,4.526167129999521,500000,110468.74444515991
10,livro2.txt,True,6.068302685999697,1000000,164790.72514084046
10,livro3.txt,True,19.206315510000422,2000000,104132.41409882244
10,livro4.txt,True,25.852483605999623,3000000,116043.00947332525
10,livro5.txt,True,41.400186437999764,5000000,120772.40298151597
