repeticao,livro,sucesso,tempo_s,ttfb_s,tamanho_bytes,vazao_Bps
1,livro1.txt,True,2.6951633759999822,0.10257116599950677,500000,185517.5105347689
1,livro2.txt,True,5.246746992000226,0.1026794740000696,1000000,190594.2866169669
1,livro3.txt,True,10.656189283999993,0.20753084499938268,2000000,187684.35382458445
1,livro4.txt,True,17.803788750999956,0.10621633600021596,3000000,168503.4596825074
1,livro5.txt,True,28.528419696000128,0.10133831500024826,5000000,175263.82650284105
2,livro1.txt,True,2.786235716000192,0.10143240099932882,500000,179453.58934590785
2,livro2.txt,True,5.145149945999947,0.10136099699957413,1000000,194357.79530146474
2,livro3.txt,True,9.816554661999362,0.10230915200008894,2000000,203737.46888428726
2,livro4.txt,True,13.198015472999941,0.10118604299987055,3000000,227306.90126385287
2,livro5.txt,True,29.882718933999968,0.10158880500057421,5000000,167320.78533560407
3,livro1.txt,True,3.0958469020006305,0.10235378000015771,500000,161506.69455808192
3,livro2.txt,True,5.559248901000501,0.10170343499976298,1000000,179880.41510788075
3,livro3.txt,True,10.626382387000376,0.10134231299980456,2000000,188210.80657201548
3,livro4.txt,True,15.745066356999814,0.10128166599952237,3000000,190535.87530079123
3,livro5.txt,True,28.133110713999486,0.10284416400008922,5000000,177726.5248350912
4,livro1.txt,True,2.6247265160000097,0.11134250899976905,500000,190496.03718789807
4,livro2.txt,True,5.74018771900046,0.10538640799950372,1000000,174210.33055938635
4,livro3.txt,True,12.860598348999702,0.10654220800006442,2000000,155513.7596032272
4,livro4.txt,True,19.870116340000095,0.10620523699981277,3000000,150980.49496372428
4,livro5.txt,True,31.557604844999332,0.10629771899948537,5000000,158440.41474498366
5,livro1.txt,True,2.9443498349992296,0.20977984000001015,500000,169816.77722414082
5,livro2.txt,True,6.0602259959996445,0.104024641000251,1000000,165010.3479078338
5,livro3.txt,True,10.325173809000262,0.10164977700060263,2000000,193701.33975436204
5,livro4.txt,True,17.01160773799984,0.10248904899981426,3000000,176350.17490432263
5,livro5.txt,True,30.31272322699988,0.1021798370002216,5000000,164947.23890549183
6,livro1.txt,True,2.6167741859999296,0.1012701460003882,500000,191074.9512415182
6,livro2.txt,True,8.13124673999937,0.10400366900012159,1000000,122982.37059770708
6,livro3.txt,True,12.843739338999512,0.10703597300016554,2000000,155717.89081136815
6,livro4.txt,True,19.728306531999806,0.10661548400003085,3000000,152065.76373567214
6,livro5.txt,True,30.87202782300028,0.10369486000035977,5000000,161958.91078702966
7,livro1.txt,True,2.8320908140003667,0.10502683300001081,500000,176548.0109353355
7,livro2.txt,True,5.970940797000367,0.10397741100041458,1000000,167477.79520814744
7,livro3.txt,True,12.622775608000666,0.10156399999959831,2000000,158443.75770510762
7,livro4.txt,True,16.017291251999268,0.1061877550000645,3000000,187297.5868891403
7,livro5.txt,True,29.522757198999898,0.10807731800014153,5000000,169360.87528333493
8,livro1.txt,True,3.133507080000527,0.10321069099973101,500000,159565.6200016998
8,livro2.txt,True,6.273099577000721,0.10633586299991293,1000000,159410.82836726107
8,livro3.txt,True,11.064614177999829,0.1026846110007682,2000000,180756.4157073522
8,livro4.txt,True,16.561538781999843,0.20963359199959086,3000000,181142.58822740524
8,livro5.txt,True,28.9797372740004,0.10435965499982558,5000000,172534.34538503646
9,livro1.txt,True,2.8102317790007874,0.10595403500065004,500000,177921.26746847236
9,livro2.txt,True,6.146944453999822,0.10428028399928735,1000000,162682.4526369844
9,livro3.txt,True,12.013836148999872,0.106898755999282,2000000,166474.71924831404
9,livro4.txt,True,19.665428663000057,0.10396184899946093,3000000,152551.97592740066
9,livro5.txt,True,31.587079959999755,0.10431030099971395,5000000,158292.56792117984
10,livro1.txt,True,2.8062513810000382,0.10602777999974933,500000,178173.63169432795
10,livro2.txt,True,5.88604670299992,0.10238203900007647,1000000,169893.31727360125
10,livro3.txt,True,11.361468434999551,0.10374039999987872,2000000,176033.58328566962
10,livro4.txt,True,19.310306628000035,0.10536607899939554,3000000,155357.45018414085
10,livro5.txt,True,28.892400682999323,0.23998062400005438,5000000,173055.88603933723
